model,cv_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean,cv_roc_auc_mean,cv_roc_auc_std
Hist Gradient Boosting,0.8927700159632971,0.8284455639390215,0.7743395702645048,0.8003933284887123,0.9548020299205545,0.0014020171330884658
Random Forest,0.8357799963373232,0.6430997108711104,0.9183553202067403,0.7564190017714097,0.9452915591820371,0.0018820232275195165
Logistic Regression,0.8325970577942329,0.6546821965412004,0.840070538996382,0.7358719954098351,0.9169870825437042,0.0011590478641361588
