feature,importance
cat__property_type_Entire place,4.001239323107034e-05
cat__room_type_Shared room,3.8722918567491716e-05
cat__neighbourhood_cleansed_Downtown Brooklyn,3.816379867243404e-05
cat__neighbourhood_cleansed_Carroll Gardens,3.7062465106081746e-05
cat__neighbourhood_cleansed_Battery Park City,3.557875589017068e-05
cat__neighbourhood_cleansed_Forest Hills,3.468622003300598e-05
cat__property_type_Private room in resort,3.327659352963491e-05
cat__neighbourhood_cleansed_Sheepshead Bay,3.3193700590452445e-05
cat__neighbourhood_cleansed_Windsor Terrace,3.305541397611365e-05
cat__neighbourhood_cleansed_Rosedale,3.300185411072471e-05
cat__property_type_Shared room in rental unit,3.139680100294302e-05
cat__neighbourhood_cleansed_Grant City,2.9080985581443653e-05
cat__neighbourhood_cleansed_Nolita,2.883657513793936e-05
cat__property_type_Private room in bed and breakfast,2.8803022511517778e-05
cat__neighbourhood_cleansed_Wakefield,2.8586425594854952e-05
cat__neighbourhood_cleansed_South Slope,2.8559028877678242e-05
cat__neighbourhood_cleansed_Gowanus,2.788148683029616e-05
cat__property_type_Private room in hostel,2.7630956024648506e-05
cat__neighbourhood_cleansed_Brighton Beach,2.6952249758603307e-05
cat__neighbourhood_cleansed_Boerum Hill,2.5282030236201963e-05
cat__neighbourhood_cleansed_Rockaway Beach,2.3729685939643718e-05
cat__neighbourhood_cleansed_Kensington,2.293117383471615e-05
cat__neighbourhood_cleansed_St. George,2.0638957426010565e-05
cat__neighbourhood_cleansed_Mott Haven,1.999203323265646e-05
cat__neighbourhood_cleansed_Brooklyn Heights,1.8555679490869408e-05
cat__neighbourhood_cleansed_Flatiron District,1.6648555715205007e-05
cat__neighbourhood_cleansed_Tompkinsville,1.6358346647946965e-05
cat__neighbourhood_cleansed_Glendale,1.5905195967805e-05
cat__neighbourhood_cleansed_Borough Park,1.52871021609274e-05
cat__neighbourhood_cleansed_South Ozone Park,1.4973218004176465e-05
cat__neighbourhood_cleansed_Queens Village,1.4341892881530931e-05
cat__neighbourhood_cleansed_Fordham,1.3366135353003993e-05
cat__property_type_Private room in guesthouse,1.3218173192940718e-05
cat__neighbourhood_cleansed_NoHo,1.2832485431930623e-05
cat__neighbourhood_cleansed_Bayside,1.2487761572091888e-05
cat__neighbourhood_cleansed_Kingsbridge,1.2213059107250178e-05
cat__neighbourhood_cleansed_Cobble Hill,1.1926710689721193e-05
cat__neighbourhood_cleansed_Hunts Point,1.1571903274406713e-05
cat__neighbourhood_cleansed_Port Morris,1.0896123041332926e-05
cat__neighbourhood_cleansed_Briarwood,1.0837873822830137e-05
cat__neighbourhood_cleansed_Rego Park,1.0461949953645453e-05
cat__neighbourhood_cleansed_Bensonhurst,9.203308953751737e-06
cat__property_type_Entire guesthouse,9.03051343264531e-06
cat__neighbourhood_cleansed_Roosevelt Island,8.909244860037257e-06
cat__neighbourhood_cleansed_Maspeth,8.904223818105334e-06
cat__neighbourhood_cleansed_Mariners Harbor,8.032844364348462e-06
cat__neighbourhood_cleansed_Laurelton,8.025317348538695e-06
cat__neighbourhood_cleansed_Richmond Hill,7.98656449158555e-06
cat__neighbourhood_cleansed_Woodhaven,7.59536313990902e-06
cat__neighbourhood_cleansed_Allerton,7.432069248256222e-06
cat__neighbourhood_cleansed_Mount Hope,7.298828399564876e-06
cat__neighbourhood_cleansed_Concourse,7.2854013113692385e-06
cat__neighbourhood_cleansed_Gravesend,7.062457362196602e-06
cat__neighbourhood_cleansed_West Brighton,6.416676465490642e-06
cat__neighbourhood_cleansed_Norwood,6.178435751503766e-06
cat__property_type_Shared room in home,6.137892053359538e-06
cat__neighbourhood_cleansed_Midwood,6.127766001636698e-06
cat__neighbourhood_cleansed_Bath Beach,5.826776602827026e-06
cat__neighbourhood_cleansed_Kew Gardens,4.94716139084167e-06
cat__neighbourhood_cleansed_College Point,4.827641451286834e-06
cat__property_type_Room in serviced apartment,4.483012936913066e-06
cat__property_type_Private room in casa particular,4.446781939237305e-06
cat__neighbourhood_cleansed_Edenwald,4.434622731713535e-06
cat__neighbourhood_cleansed_Throgs Neck,4.40586981235521e-06
cat__neighbourhood_cleansed_Civic Center,4.400795708784907e-06
cat__neighbourhood_cleansed_Cambria Heights,4.298694882425676e-06
cat__neighbourhood_cleansed_Coney Island,4.298039266195255e-06
cat__neighbourhood_cleansed_Dyker Heights,4.062753134362236e-06
cat__neighbourhood_cleansed_Fresh Meadows,3.840061149204611e-06
cat__neighbourhood_cleansed_Tremont,3.8066360578589146e-06
cat__neighbourhood_cleansed_Concourse Village,3.729183461403245e-06
cat__property_type_Shared room in townhouse,3.085909765673659e-06
cat__neighbourhood_cleansed_Vinegar Hill,3.0184064375480626e-06
cat__neighbourhood_cleansed_Bellerose,2.9832164130814577e-06
cat__property_type_Private room,2.951953700013445e-06
cat__neighbourhood_cleansed_City Island,2.8478614534690895e-06
cat__neighbourhood_cleansed_Williamsbridge,2.820288601238362e-06
cat__neighbourhood_cleansed_Two Bridges,2.7048272706358007e-06
cat__neighbourhood_cleansed_Morris Park,2.541540341761916e-06
cat__neighbourhood_cleansed_Howard Beach,2.5050041141522568e-06
cat__neighbourhood_cleansed_DUMBO,2.237346787780265e-06
cat__neighbourhood_cleansed_Soundview,2.0087754518473317e-06
cat__neighbourhood_cleansed_Corona,1.7645166384866914e-06
cat__neighbourhood_cleansed_Pelham Gardens,1.3986271301451584e-06
cat__neighbourhood_cleansed_Stuyvesant Town,1.3324987777846384e-06
cat__neighbourhood_cleansed_Jamaica Estates,1.1624413614481275e-06
cat__neighbourhood_cleansed_Middle Village,6.03192868225442e-07
cat__neighbourhood_cleansed_Sea Gate,3.6890646565144306e-07
cat__property_type_Entire vacation home,1.6075671898967914e-07
cat__neighbourhood_cleansed_Longwood,4.897201271230135e-15
cat__neighbourhood_cleansed_Morris Heights,3.6780467245928946e-15
cat__neighbourhood_cleansed_Red Hook,2.677684900916418e-15
cat__neighbourhood_cleansed_Riverdale,0.0
cat__property_type_Private room in farm stay,0.0
cat__neighbourhood_cleansed_Hollis Hills,0.0
cat__property_type_Private room in castle,0.0
cat__neighbourhood_cleansed_Hollis,0.0
cat__property_type_Private room in cottage,0.0
cat__property_type_Private room in dorm,0.0
cat__property_type_Private room in earthen home,0.0
cat__property_type_Private room in floor,0.0
cat__neighbourhood_cleansed_Baychester,0.0
cat__neighbourhood_cleansed_Highbridge,0.0
"cat__neighbourhood_cleansed_Bay Terrace, Staten Island",0.0
cat__neighbourhood_cleansed_Edgemere,0.0
cat__property_type_Private room in houseboat,0.0
cat__property_type_Private room in in-law,0.0
cat__property_type_Private room in camper/rv,0.0
cat__property_type_Private room in bungalow,0.0
